Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR13640002_1	(1.0, 38.20439183480457)	(2.0, 12.789129338714783)	(3.0, 6.624477048791164)	(4.0, 4.123488671456779)	(5.0, 3.012927592892571)	(6.0, 2.23815972921818)	(7.0, 1.766740368051695)	(8.0, 1.5021292827632566)	(9.0, 1.3391320992474471)	('>10', 14.527792833489606)	('>50', 4.365471500935126)	('>100', 6.919820859846494)	('>500', 1.4085293680195923)	('>1k', 1.0846446082562406)	('>5k', 0.09316486351244331)	('>10k+', 0.0)
SRR13640004_2	(1.0, 37.434498195402874)	(2.0, 12.503968189829465)	(3.0, 6.133817851032506)	(4.0, 4.006537209425433)	(5.0, 2.937369889359081)	(6.0, 2.207048862665073)	(7.0, 1.8589232375321845)	(8.0, 1.433184053697025)	(9.0, 1.2832524096331042)	('>10', 15.303402588094665)	('>50', 4.569079019900584)	('>100', 7.531584575222857)	('>500', 1.666014542284884)	('>1k', 1.031163062004486)	('>5k', 0.1001563139158803)	('>10k+', 0.0)
SRR19173185_1	(1.0, 26.1929725478664)	(2.0, 12.842772137294775)	(3.0, 6.8730690600716295)	(4.0, 4.138854317168345)	(5.0, 2.979388060763105)	(6.0, 2.229068452120303)	(7.0, 1.8268803630323713)	(8.0, 1.491668286247224)	(9.0, 1.2712499875698846)	('>10', 16.07878160291792)	('>50', 5.285856422045844)	('>100', 9.653471084670437)	('>500', 3.400514101867113)	('>1k', 4.954613660543148)	('>5k', 0.7808399158213711)	('>10k+', 0.0)
SRR19173191_1	(1.0, 34.895414655080906)	(2.0, 11.347862951000812)	(3.0, 5.873178329926274)	(4.0, 3.3399929789148386)	(5.0, 2.091362988229939)	(6.0, 1.4405004274727686)	(7.0, 1.0945851691858517)	(8.0, 0.8383252160266037)	(9.0, 0.7062225030490665)	('>10', 7.062450879204285)	('>50', 2.3824388870261246)	('>100', 8.708621844036077)	('>500', 5.664361618919893)	('>1k', 11.863968240899506)	('>5k', 2.372267481881971)	('>10k+', 0.3184458291450926)
SRR19173211_1	(1.0, 35.045050363242254)	(2.0, 16.551886996672888)	(3.0, 8.367751180072599)	(4.0, 4.819355190566666)	(5.0, 3.2287063083172653)	(6.0, 2.338542281353964)	(7.0, 1.7202639225099108)	(8.0, 1.42303757508309)	(9.0, 1.13252080824238)	('>10', 11.602346166159574)	('>50', 3.160223532149811)	('>100', 5.504937433809931)	('>500', 1.8660807347385047)	('>1k', 2.9289276410033867)	('>5k', 0.3103698660780354)	('>10k+', 0.0)
SRR19173211_2	(1.0, 37.225545906112025)	(2.0, 16.429540621275915)	(3.0, 8.050541281718889)	(4.0, 4.594971407861212)	(5.0, 3.075260949415484)	(6.0, 2.2236759442324177)	(7.0, 1.620678868701217)	(8.0, 1.3842693284657985)	(9.0, 1.1323177543259293)	('>10', 11.355648630182548)	('>50', 2.9794293921439547)	('>100', 5.33677671614105)	('>500', 1.6858151503782293)	('>1k', 2.7138430381712375)	('>5k', 0.19168501087391973)	('>10k+', 0.0)
SRR19173215_1	(1.0, 44.25082347205691)	(2.0, 15.958984748637178)	(3.0, 8.256832895225514)	(4.0, 4.484980837466008)	(5.0, 2.869269756472884)	(6.0, 1.968424166125276)	(7.0, 1.442594841427886)	(8.0, 1.128255862325519)	(9.0, 0.9465356178590012)	('>10', 9.86864510890867)	('>50', 2.770127316789534)	('>100', 4.51640156328315)	('>500', 1.084542765718589)	('>1k', 0.45358104770378904)	('>5k', 0.0)	('>10k+', 0.0)
SRR19173215_2	(1.0, 50.57674443271161)	(2.0, 14.943127078927029)	(3.0, 7.287149611827734)	(4.0, 4.16307467826074)	(5.0, 2.4821560385559533)	(6.0, 1.7055920741935098)	(7.0, 1.2430994231001027)	(8.0, 1.02220475319309)	(9.0, 0.8550318718493701)	('>10', 8.45892712492122)	('>50', 2.341145910107267)	('>100', 3.787315121958687)	('>500', 0.8676293549628171)	('>1k', 0.26680252543111316)	('>5k', 0.0)	('>10k+', 0.0)
SRR19173217_1	(1.0, 38.35944623955269)	(2.0, 14.752234392091257)	(3.0, 8.329993452415874)	(4.0, 4.957835178595567)	(5.0, 3.311656939650953)	(6.0, 2.3804533110154713)	(7.0, 1.8575138376552818)	(8.0, 1.4759387187059259)	(9.0, 1.2050928637272011)	('>10', 12.136779121742313)	('>50', 3.37541083626297)	('>100', 5.729640561520875)	('>500', 1.478621099871271)	('>1k', 0.6493834471924367)	('>5k', 0.0)	('>10k+', 0.0)
SRR19173217_2	(1.0, 46.87755962767934)	(2.0, 13.521798979640002)	(3.0, 7.302257390207704)	(4.0, 4.324158963447684)	(5.0, 2.855549617314915)	(6.0, 2.007740275426446)	(7.0, 1.5099176412701925)	(8.0, 1.2275979799867491)	(9.0, 0.9779169711605205)	('>10', 10.389633376968135)	('>50', 2.714760678621715)	('>100', 4.7336509500529536)	('>500', 1.127149088961848)	('>1k', 0.4303084592619742)	('>5k', 0.0)	('>10k+', 0.0)
SRR19173231_2	(1.0, 39.915531679423125)	(2.0, 17.30252298734091)	(3.0, 8.621067166583146)	(4.0, 4.89933059697821)	(5.0, 3.2660971044193596)	(6.0, 2.2928680574689566)	(7.0, 1.7408012969930102)	(8.0, 1.4344177570127956)	(9.0, 1.13170786502362)	('>10', 10.752375463161485)	('>50', 2.375791813005004)	('>100', 3.650520091625413)	('>500', 1.1212403067377597)	('>1k', 1.4549746505931458)	('>5k', 0.04075316363401541)	('>10k+', 0.0)
SRR19173232_1	(1.0, 34.22005115794096)	(2.0, 15.212148926555402)	(3.0, 7.375600471761272)	(4.0, 4.386453434714748)	(5.0, 2.9100591351292238)	(6.0, 2.1520055482907527)	(7.0, 1.614689756799932)	(8.0, 1.3779281495058802)	(9.0, 1.0872832766191334)	('>10', 12.633293420297722)	('>50', 3.5615363195179097)	('>100', 6.504392135936488)	('>500', 2.4759575060030614)	('>1k', 4.08035714693581)	('>5k', 0.4082436139915955)	('>10k+', 0.0)
SRR19173243_1	(1.0, 26.834188642978773)	(2.0, 13.176716643755453)	(3.0, 7.323143615068959)	(4.0, 4.527307748218727)	(5.0, 3.1193955435390515)	(6.0, 2.3346882981202683)	(7.0, 1.9767997304741454)	(8.0, 1.6131173217706147)	(9.0, 1.3678727939301396)	('>10', 15.513217423523315)	('>50', 4.62354868456475)	('>100', 8.486422940091385)	('>500', 3.137582553736569)	('>1k', 4.881917271791215)	('>5k', 0.9962994761186647)	('>10k+', 0.0877813123179936)
SRR19173243_2	(1.0, 28.884004032380567)	(2.0, 13.311922506085253)	(3.0, 7.07435440868761)	(4.0, 4.356343279290957)	(5.0, 3.0426918332631434)	(6.0, 2.3741257302334065)	(7.0, 1.8616520960332184)	(8.0, 1.6071479335361696)	(9.0, 1.2957814110537145)	('>10', 15.30022619553126)	('>50', 4.4413087650796355)	('>100', 8.152025608595983)	('>500', 2.926274997474306)	('>1k', 4.440927084060613)	('>5k', 0.8508444481417737)	('>10k+', 0.08036967055223956)
