Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR13639999_1	(1, 35.71981891374762)	(2, 35.508673020301316)	(3, 35.890117237686)	(4, 35.81624650915904)	(5, 35.79079443347443)	(6, 35.77600446627102)	(7, 35.87225494960525)	(8, 35.85862508096948)	(9, 35.828556328799266)	(10, 35.78597946280856)	(15, 35.74849950060083)	(20, 35.73895365135059)	(25, 35.730831949032606)	(30, 35.71260537120093)	(35, 35.69355658646504)	(40, 35.64359495673119)	(45, 35.620947624815685)	(50, 35.61096915738278)	(55, 35.57935887452747)	(60, 35.537400927027946)	(65, 35.49973768226238)	(70, 35.44162470297933)	(75, 35.406280189859906)	(80, 35.34103470379547)	(85, 35.26664773743178)	(90, 35.20566594743609)	(95, 35.12792063913453)	(100, 35.04202842595811)	(105, 34.95184892426588)	(110, 34.84821766871817)	(115, 34.74585597992125)	(120, 34.63247966501232)	(125, 34.49659021650048)	(130, 34.36360356455169)	(135, 34.216101647484585)	(140, 34.079832213061685)	(145, 33.925539980930324)	(150, 33.81455295325711)
SRR13639999_2	(1, 35.409095876590776)	(2, 35.087240569251904)	(3, 35.51146617513646)	(4, 35.47900096254677)	(5, 35.48599419001041)	(6, 35.3608128779088)	(7, 35.53492417322911)	(8, 35.583074120922234)	(9, 35.537686138212884)	(10, 35.49071517654299)	(15, 35.511057650752434)	(20, 35.500334926940305)	(25, 35.50555833521782)	(30, 35.50269138529073)	(35, 35.4782584898221)	(40, 35.48434037586037)	(45, 35.46851694956312)	(50, 35.44715652923382)	(55, 35.40822762247477)	(60, 35.39270900827987)	(65, 35.352875885072294)	(70, 35.31423536151087)	(75, 35.28160582130857)	(80, 35.22314172239422)	(85, 35.18028684732645)	(90, 35.10169030193752)	(95, 35.02989603656048)	(100, 34.9819254281024)	(105, 34.914624121074084)	(110, 34.81212969945373)	(115, 34.74274054281044)	(120, 34.63756987768035)	(125, 34.54049817086225)	(130, 34.3963189997728)	(135, 34.29475588686752)	(140, 34.18497266211937)	(145, 34.04262426299514)	(150, 33.97137509209322)
SRR13640002_1	(1, 35.99004096570845)	(2, 35.40338824272822)	(3, 35.85494273012034)	(4, 35.75696977598759)	(5, 35.75032070863387)	(6, 35.731113958435856)	(7, 35.85750017835842)	(8, 35.89898317431069)	(9, 35.833655868818965)	(10, 35.78387060082078)	(15, 35.74305042514686)	(20, 35.734884118946894)	(25, 35.7179224349511)	(30, 35.70263116651408)	(35, 35.672794783203656)	(40, 35.65757873298408)	(45, 35.63337110108971)	(50, 35.60507867673628)	(55, 35.57244307577993)	(60, 35.53288342782003)	(65, 35.495686447240615)	(70, 35.45402173722834)	(75, 35.40981095353393)	(80, 35.35143306905519)	(85, 35.2950913647025)	(90, 35.22846275424247)	(95, 35.159688641001125)	(100, 35.08484566852487)	(105, 34.999265576747675)	(110, 34.88562562846104)	(115, 34.80973874481438)	(120, 34.70004092147941)	(125, 34.58829939908115)	(130, 34.46013117180233)	(135, 34.33562898409927)	(140, 34.18202364407697)	(145, 34.024554733728664)	(150, 33.95515891398855)
SRR13640002_2	(1, 35.16370183048623)	(2, 34.64578180890246)	(3, 35.24926118268844)	(4, 35.13252530718513)	(5, 35.13210960225976)	(6, 35.11000171531765)	(7, 35.22701873369174)	(8, 35.297842699602306)	(9, 35.23606184220116)	(10, 35.1631415158216)	(15, 35.1745202927655)	(20, 35.16283922954546)	(25, 35.1639976074011)	(30, 35.16684430396275)	(35, 35.15558834914714)	(40, 35.14884295863065)	(45, 35.13581785172617)	(50, 35.111167506345424)	(55, 35.09373274466401)	(60, 35.06742504090706)	(65, 35.03008667161647)	(70, 34.988233613187795)	(75, 34.93965564421235)	(80, 34.884005787850974)	(85, 34.82958622961449)	(90, 34.76707536225028)	(95, 34.68876665968617)	(100, 34.615099035556874)	(105, 34.50893435313968)	(110, 34.43742070261488)	(115, 34.3237520631406)	(120, 34.232182599410066)	(125, 34.103905645606524)	(130, 33.98184322804322)	(135, 33.850553468778045)	(140, 33.70870710239582)	(145, 33.54055297456657)	(150, 33.4589345838999)
SRR13640004_1	(1, 35.991373257156155)	(2, 35.405465808729865)	(3, 35.854856157392994)	(4, 35.75421095526556)	(5, 35.74578629266881)	(6, 35.725915985727)	(7, 35.855611501118126)	(8, 35.89497999641445)	(9, 35.83482401916381)	(10, 35.78227358166401)	(15, 35.73746382999468)	(20, 35.732883301802524)	(25, 35.71336342127363)	(30, 35.69952763742243)	(35, 35.66698274140334)	(40, 35.64967840147448)	(45, 35.626921118722535)	(50, 35.59772949671797)	(55, 35.56535505184892)	(60, 35.52526673413159)	(65, 35.48696925431603)	(70, 35.44624879695417)	(75, 35.40174899667551)	(80, 35.34404274115171)	(85, 35.287273563972164)	(90, 35.22001616641977)	(95, 35.15414124937489)	(100, 35.080961210028214)	(105, 34.99624604488855)	(110, 34.88858283953413)	(115, 34.81204380580796)	(120, 34.706327480476055)	(125, 34.60130323084642)	(130, 34.477446203014374)	(135, 34.356897452923945)	(140, 34.207491053820966)	(145, 34.05981867229346)	(150, 33.990142002654565)
SRR13640004_2	(1, 35.28826363923722)	(2, 34.79704336744322)	(3, 35.355847883897425)	(4, 35.24999582275754)	(5, 35.25249794184807)	(6, 35.2270508687878)	(7, 35.35004992050462)	(8, 35.411857186272385)	(9, 35.35708621513919)	(10, 35.28240498296864)	(15, 35.29659440725224)	(20, 35.2866145622014)	(25, 35.28765075422324)	(30, 35.29067829178501)	(35, 35.280237780435485)	(40, 35.27157248901533)	(45, 35.25933666765741)	(50, 35.23610228484351)	(55, 35.21966574983566)	(60, 35.19467339664657)	(65, 35.15882529454965)	(70, 35.11899933714534)	(75, 35.071827566183245)	(80, 35.01846388346338)	(85, 34.96336498405375)	(90, 34.90079884601957)	(95, 34.823979022969525)	(100, 34.75249603505974)	(105, 34.64732011712791)	(110, 34.5801371826082)	(115, 34.4664824257021)	(120, 34.376497713426616)	(125, 34.25282234158324)	(130, 34.13287530115461)	(135, 34.005610862245746)	(140, 33.86579568704139)	(145, 33.7005923722963)	(150, 33.622727432668746)
SRR19173185_1	(1, 31.544590613502763)	(2, 31.526926547682667)	(3, 35.389291440038804)	(4, 35.93594232554848)	(5, 36.397606476527585)	(6, 39.989136107130854)	(7, 40.094652436061835)	(8, 40.14030769142161)	(9, 40.10078445021222)	(10, 40.08570229645455)	(15, 40.08320359955191)	(20, 40.068983320765184)	(25, 39.99498303402205)	(30, 39.93332438546669)	(35, 39.895210916644146)	(40, 39.86139903700385)	(45, 39.80374247093589)	(50, 39.73221356438988)	(55, 39.67210163172062)	(60, 39.6150456320629)	(65, 39.55946400427523)	(70, 39.49218196093629)	(75, 39.37026096298793)	(80, 39.59562567597533)	(85, 39.538335355345495)	(90, 39.48092054623538)	(95, 39.42303016315561)	(100, 39.34789741589725)	(105, 39.259514965975484)	(110, 39.16588146565644)	(115, 39.03516986753455)	(120, 38.91396143860303)	(125, 38.76976791496606)	(130, 38.58760565167827)	(135, 38.37179080134626)	(140, 38.13832311630951)	(145, 37.875851620921466)	(150, 37.71899523068423)
SRR19173185_2	(1, 31.080610559223153)	(2, 31.170404715093756)	(3, 34.75114733248668)	(4, 35.51751411191704)	(5, 35.59811736885821)	(6, 38.95594163028896)	(7, 39.22236883353142)	(8, 39.289754960100744)	(9, 39.38733715396954)	(10, 39.260219080801086)	(15, 39.22333651959666)	(20, 39.13681899021165)	(25, 39.06302946172514)	(30, 38.965865513770055)	(35, 38.871737700385935)	(40, 38.787279486511764)	(45, 38.69086969972606)	(50, 38.58956161418691)	(55, 38.505907525546675)	(60, 38.38103409157761)	(65, 38.30165103566928)	(70, 38.14137163390514)	(75, 37.933150704289666)	(80, 38.20873251103468)	(85, 38.07406470109805)	(90, 37.97695944909116)	(95, 37.886068675596434)	(100, 37.7229947830852)	(105, 37.57446812646483)	(110, 37.38126745605363)	(115, 37.16196978747685)	(120, 36.88749772189372)	(125, 36.60348329135035)	(130, 36.29982933229991)	(135, 35.913124607373774)	(140, 35.42966957276919)	(145, 34.9890377423072)	(150, 34.70261965766079)
SRR19173191_1	(1, 30.829148786200275)	(2, 31.284437888298555)	(3, 35.0725228521389)	(4, 35.92046226335067)	(5, 36.25001786112312)	(6, 39.76721557540581)	(7, 39.843584432287294)	(8, 39.953448878873125)	(9, 39.9694801789163)	(10, 39.943044788220746)	(15, 39.894748829802516)	(20, 39.8490724666009)	(25, 39.72906210624514)	(30, 39.62541041243489)	(35, 39.58990516452039)	(40, 39.55593249442025)	(45, 39.51142420345269)	(50, 39.451502411357126)	(55, 39.43934524770227)	(60, 39.41830190850849)	(65, 39.377387968855984)	(70, 39.35234259255965)	(75, 39.02950987932634)	(80, 39.34496674756273)	(85, 39.2599123143958)	(90, 39.21118147907946)	(95, 39.13851138496626)	(100, 39.09232796482736)	(105, 39.01267460265256)	(110, 38.917851989077974)	(115, 38.813354838627994)	(120, 38.6647314353295)	(125, 38.55600182873785)	(130, 38.38118446286674)	(135, 38.183512275158606)	(140, 37.984573813706405)	(145, 37.76148297785227)	(150, 37.596849460666434)
SRR19173191_2	(1, 30.67474361224439)	(2, 30.433544533703504)	(3, 33.38492073851539)	(4, 34.16514976242747)	(5, 34.71055008460897)	(6, 37.93002256138695)	(7, 38.14772321475135)	(8, 38.20235142213428)	(9, 38.138332876229256)	(10, 38.1200584120524)	(15, 37.97786384343756)	(20, 37.94895272321988)	(25, 37.87866273756123)	(30, 37.7529344061784)	(35, 37.69663244425235)	(40, 37.60411314082469)	(45, 37.56882981095909)	(50, 37.44016627454593)	(55, 37.33060405323597)	(60, 37.24103602834218)	(65, 37.11467048443526)	(70, 36.993996323351865)	(75, 36.543497511169306)	(80, 37.00267895745062)	(85, 36.9657353419867)	(90, 36.85571467011063)	(95, 36.72732467265309)	(100, 36.59412694920623)	(105, 36.41415471549025)	(110, 36.09488870425194)	(115, 35.861761756070656)	(120, 35.55240129159584)	(125, 35.164345146715334)	(130, 34.83751132485642)	(135, 34.438654834654834)	(140, 34.078809569558686)	(145, 33.63169312655147)	(150, 33.331467597088995)
