Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
SRR19173185_1	(13.0, 1.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 12.0)	(17.0, 25.0)	(18.0, 112.0)	(19.0, 452.0)	(20.0, 1560.0)	(21.0, 3967.0)	(22.0, 8012.0)	(23.0, 14369.0)	(24.0, 22298.0)	(25.0, 31175.0)	(26.0, 42470.0)	(27.0, 58845.0)	(28.0, 81886.0)	(29.0, 112359.0)	(30.0, 148382.0)	(31.0, 190253.0)	(32.0, 243805.0)	(33.0, 306531.0)	(34.0, 377934.0)	(35.0, 467218.0)	(36.0, 594693.0)	(37.0, 799023.0)	(38.0, 1193967.0)	(39.0, 2343081.0)	(40.0, 12403544.0)		
SRR19173185_2	(12.0, 55.0)	(13.0, 928.0)	(14.0, 1027.0)	(15.0, 1250.0)	(16.0, 3104.0)	(17.0, 9890.0)	(18.0, 20957.0)	(19.0, 33647.0)	(20.0, 47507.0)	(21.0, 64263.0)	(22.0, 83110.0)	(23.0, 102992.0)	(24.0, 121377.0)	(25.0, 138081.0)	(26.0, 158284.0)	(27.0, 182163.0)	(28.0, 211239.0)	(29.0, 243546.0)	(30.0, 284096.0)	(31.0, 330074.0)	(32.0, 392334.0)	(33.0, 471592.0)	(34.0, 575952.0)	(35.0, 711737.0)	(36.0, 903962.0)	(37.0, 1212783.0)	(38.0, 1796620.0)	(39.0, 3332718.0)	(40.0, 8010688.0)	
SRR19173191_1	(15.0, 1.0)	(16.0, 3.0)	(17.0, 37.0)	(18.0, 121.0)	(19.0, 569.0)	(20.0, 1915.0)	(21.0, 4631.0)	(22.0, 8848.0)	(23.0, 16046.0)	(24.0, 24561.0)	(25.0, 34996.0)	(26.0, 47423.0)	(27.0, 65568.0)	(28.0, 89066.0)	(29.0, 118611.0)	(30.0, 155312.0)	(31.0, 197413.0)	(32.0, 249763.0)	(33.0, 313695.0)	(34.0, 383077.0)	(35.0, 468851.0)	(36.0, 583021.0)	(37.0, 763274.0)	(38.0, 1100694.0)	(39.0, 2048293.0)	(40.0, 9910514.0)				
SRR19173191_2	(11.0, 8.0)	(12.0, 157.0)	(13.0, 1667.0)	(14.0, 2683.0)	(15.0, 3592.0)	(16.0, 9236.0)	(17.0, 25992.0)	(18.0, 51348.0)	(19.0, 79063.0)	(20.0, 104514.0)	(21.0, 128947.0)	(22.0, 152479.0)	(23.0, 174036.0)	(24.0, 192043.0)	(25.0, 212564.0)	(26.0, 234682.0)	(27.0, 257476.0)	(28.0, 284969.0)	(29.0, 314566.0)	(30.0, 349822.0)	(31.0, 391897.0)	(32.0, 442473.0)	(33.0, 506921.0)	(34.0, 586721.0)	(35.0, 689583.0)	(36.0, 829351.0)	(37.0, 1047704.0)	(38.0, 1426805.0)	(39.0, 2357435.0)	(40.0, 5727569.0)
SRR19173211_1	(15.0, 1.0)	(16.0, 4.0)	(17.0, 27.0)	(18.0, 128.0)	(19.0, 558.0)	(20.0, 2072.0)	(21.0, 5643.0)	(22.0, 11498.0)	(23.0, 20156.0)	(24.0, 29324.0)	(25.0, 37544.0)	(26.0, 48749.0)	(27.0, 65586.0)	(28.0, 89781.0)	(29.0, 121934.0)	(30.0, 159726.0)	(31.0, 206018.0)	(32.0, 262536.0)	(33.0, 328581.0)	(34.0, 403634.0)	(35.0, 498547.0)	(36.0, 632815.0)	(37.0, 847631.0)	(38.0, 1260477.0)	(39.0, 2465235.0)	(40.0, 12839134.0)				
SRR19173211_2	(12.0, 64.0)	(13.0, 777.0)	(14.0, 975.0)	(15.0, 1229.0)	(16.0, 3368.0)	(17.0, 11207.0)	(18.0, 24357.0)	(19.0, 39204.0)	(20.0, 56271.0)	(21.0, 75464.0)	(22.0, 98374.0)	(23.0, 120748.0)	(24.0, 139301.0)	(25.0, 157111.0)	(26.0, 175795.0)	(27.0, 202290.0)	(28.0, 232727.0)	(29.0, 269325.0)	(30.0, 312130.0)	(31.0, 361460.0)	(32.0, 427548.0)	(33.0, 510320.0)	(34.0, 621910.0)	(35.0, 764950.0)	(36.0, 967191.0)	(37.0, 1293867.0)	(38.0, 1914869.0)	(39.0, 3522201.0)	(40.0, 8032306.0)	
SRR19173215_1	(15.0, 4.0)	(16.0, 3.0)	(17.0, 25.0)	(18.0, 118.0)	(19.0, 430.0)	(20.0, 1454.0)	(21.0, 3854.0)	(22.0, 7545.0)	(23.0, 13114.0)	(24.0, 20454.0)	(25.0, 30382.0)	(26.0, 44027.0)	(27.0, 63015.0)	(28.0, 87305.0)	(29.0, 118719.0)	(30.0, 156014.0)	(31.0, 200339.0)	(32.0, 257933.0)	(33.0, 325656.0)	(34.0, 396799.0)	(35.0, 486602.0)	(36.0, 608794.0)	(37.0, 791973.0)	(38.0, 1138790.0)	(39.0, 2100199.0)	(40.0, 10264620.0)				
SRR19173215_2	(12.0, 54.0)	(13.0, 369.0)	(14.0, 807.0)	(15.0, 2002.0)	(16.0, 7643.0)	(17.0, 22839.0)	(18.0, 47048.0)	(19.0, 73675.0)	(20.0, 99367.0)	(21.0, 124068.0)	(22.0, 147956.0)	(23.0, 170186.0)	(24.0, 191541.0)	(25.0, 212566.0)	(26.0, 235929.0)	(27.0, 261831.0)	(28.0, 289664.0)	(29.0, 321129.0)	(30.0, 358527.0)	(31.0, 401746.0)	(32.0, 455591.0)	(33.0, 523389.0)	(34.0, 607327.0)	(35.0, 711509.0)	(36.0, 853166.0)	(37.0, 1070049.0)	(38.0, 1458081.0)	(39.0, 2398094.0)	(40.0, 6072015.0)	
SRR19173217_1	(14.0, 1.0)	(15.0, 3.0)	(16.0, 10.0)	(17.0, 27.0)	(18.0, 132.0)	(19.0, 527.0)	(20.0, 1714.0)	(21.0, 4089.0)	(22.0, 8516.0)	(23.0, 14890.0)	(24.0, 23701.0)	(25.0, 35348.0)	(26.0, 51903.0)	(27.0, 75724.0)	(28.0, 106511.0)	(29.0, 144366.0)	(30.0, 190415.0)	(31.0, 246460.0)	(32.0, 316362.0)	(33.0, 399920.0)	(34.0, 490861.0)	(35.0, 604803.0)	(36.0, 757741.0)	(37.0, 990463.0)	(38.0, 1426675.0)	(39.0, 2648007.0)	(40.0, 12681162.0)			
SRR19173217_2	(11.0, 1.0)	(12.0, 56.0)	(13.0, 431.0)	(14.0, 925.0)	(15.0, 2346.0)	(16.0, 9286.0)	(17.0, 28228.0)	(18.0, 58234.0)	(19.0, 91545.0)	(20.0, 123742.0)	(21.0, 155210.0)	(22.0, 184697.0)	(23.0, 212776.0)	(24.0, 239785.0)	(25.0, 268154.0)	(26.0, 298415.0)	(27.0, 331078.0)	(28.0, 367020.0)	(29.0, 407636.0)	(30.0, 454196.0)	(31.0, 508566.0)	(32.0, 577178.0)	(33.0, 663579.0)	(34.0, 766488.0)	(35.0, 897524.0)	(36.0, 1080908.0)	(37.0, 1357196.0)	(38.0, 1842913.0)	(39.0, 3022635.0)	(40.0, 7269583.0)
SRR19173231_1	(14.0, 1.0)	(15.0, 3.0)	(16.0, 6.0)	(17.0, 17.0)	(18.0, 95.0)	(19.0, 409.0)	(20.0, 1396.0)	(21.0, 3594.0)	(22.0, 7552.0)	(23.0, 13266.0)	(24.0, 20653.0)	(25.0, 28131.0)	(26.0, 37274.0)	(27.0, 50935.0)	(28.0, 70471.0)	(29.0, 95788.0)	(30.0, 127093.0)	(31.0, 162705.0)	(32.0, 207179.0)	(33.0, 259195.0)	(34.0, 319716.0)	(35.0, 397881.0)	(36.0, 507766.0)	(37.0, 683790.0)	(38.0, 1023010.0)	(39.0, 2017982.0)	(40.0, 10530678.0)			
SRR19173231_2	(11.0, 2.0)	(12.0, 56.0)	(13.0, 815.0)	(14.0, 975.0)	(15.0, 996.0)	(16.0, 2600.0)	(17.0, 7751.0)	(18.0, 16524.0)	(19.0, 27031.0)	(20.0, 39143.0)	(21.0, 53658.0)	(22.0, 70324.0)	(23.0, 87926.0)	(24.0, 103272.0)	(25.0, 117268.0)	(26.0, 133825.0)	(27.0, 154778.0)	(28.0, 178781.0)	(29.0, 206685.0)	(30.0, 240320.0)	(31.0, 282186.0)	(32.0, 333650.0)	(33.0, 400319.0)	(34.0, 488100.0)	(35.0, 603114.0)	(36.0, 764870.0)	(37.0, 1027327.0)	(38.0, 1524028.0)	(39.0, 2829584.0)	(40.0, 6870678.0)
SRR19173232_1	(16.0, 6.0)	(17.0, 14.0)	(18.0, 95.0)	(19.0, 366.0)	(20.0, 1328.0)	(21.0, 3524.0)	(22.0, 7225.0)	(23.0, 12757.0)	(24.0, 19582.0)	(25.0, 25582.0)	(26.0, 32514.0)	(27.0, 43000.0)	(28.0, 58690.0)	(29.0, 79157.0)	(30.0, 104499.0)	(31.0, 133700.0)	(32.0, 169530.0)	(33.0, 212885.0)	(34.0, 263412.0)	(35.0, 326351.0)	(36.0, 417215.0)	(37.0, 562333.0)	(38.0, 839019.0)	(39.0, 1650937.0)	(40.0, 8771908.0)					
SRR19173232_2	(12.0, 49.0)	(13.0, 808.0)	(14.0, 925.0)	(15.0, 1220.0)	(16.0, 3041.0)	(17.0, 8753.0)	(18.0, 18090.0)	(19.0, 28381.0)	(20.0, 39806.0)	(21.0, 53181.0)	(22.0, 68017.0)	(23.0, 83660.0)	(24.0, 96658.0)	(25.0, 108625.0)	(26.0, 123027.0)	(27.0, 139538.0)	(28.0, 161541.0)	(29.0, 184965.0)	(30.0, 213413.0)	(31.0, 248187.0)	(32.0, 291473.0)	(33.0, 347471.0)	(34.0, 421201.0)	(35.0, 517088.0)	(36.0, 654395.0)	(37.0, 874464.0)	(38.0, 1290268.0)	(39.0, 2359356.0)	(40.0, 5398028.0)	
SRR19173243_1	(15.0, 3.0)	(16.0, 8.0)	(17.0, 30.0)	(18.0, 126.0)	(19.0, 596.0)	(20.0, 2286.0)	(21.0, 6376.0)	(22.0, 12998.0)	(23.0, 23654.0)	(24.0, 35832.0)	(25.0, 45785.0)	(26.0, 55879.0)	(27.0, 68934.0)	(28.0, 89613.0)	(29.0, 118312.0)	(30.0, 154535.0)	(31.0, 197922.0)	(32.0, 250797.0)	(33.0, 313614.0)	(34.0, 384695.0)	(35.0, 475894.0)	(36.0, 603995.0)	(37.0, 809034.0)	(38.0, 1203375.0)	(39.0, 2339888.0)	(40.0, 12827969.0)				
SRR19173243_2	(12.0, 97.0)	(13.0, 1750.0)	(14.0, 1748.0)	(15.0, 1663.0)	(16.0, 3423.0)	(17.0, 10061.0)	(18.0, 21326.0)	(19.0, 34703.0)	(20.0, 50914.0)	(21.0, 70507.0)	(22.0, 93119.0)	(23.0, 116789.0)	(24.0, 136086.0)	(25.0, 151623.0)	(26.0, 169021.0)	(27.0, 191374.0)	(28.0, 220085.0)	(29.0, 254793.0)	(30.0, 295305.0)	(31.0, 344628.0)	(32.0, 408688.0)	(33.0, 490763.0)	(34.0, 597829.0)	(35.0, 737947.0)	(36.0, 934607.0)	(37.0, 1254655.0)	(38.0, 1856361.0)	(39.0, 3433714.0)	(40.0, 8138571.0)	
