Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR13639999_1 - polya	(1, 0.0027285094090429454)	(2, 0.007799873186981423)	(3, 0.009694403571705588)	(4, 0.01482843629366802)	(5, 0.017103801030537758)	(6, 0.019832310439580704)	(7, 0.02209321311244491)	(8, 0.03030284477958296)	(9, 0.039375379599050846)	(10, 0.04915414521078868)	(12, 0.05534631894915558)	(14, 0.06868757299425514)	(16, 0.08532376728861416)	(18, 0.09490970538027829)	(20, 0.10529828802424922)	(22, 0.11547476039613908)	(24, 0.12411343329544111)	(26, 0.13350895421103245)	(28, 0.14271646829455195)	(30, 0.1514539652978918)	(32, 0.1596394935250206)	(34, 0.16969303835286348)	(36, 0.17931031091653957)	(38, 0.19026773474472794)	(40, 0.20333420957372245)	(42, 0.21386500251374774)	(44, 0.22571907431027888)	(46, 0.23764304608283668)	(48, 0.24787736671074861)	(50, 0.25927588349110564)	(52, 0.2736825095846124)	(54, 0.2880505701741044)	(56, 0.2997648420185821)	(58, 0.31139957251102934)	(60, 0.3216531758909487)	(62, 0.3315355862947261)	(64, 0.3425773721629468)	(66, 0.354978592047687)	(68, 0.3665313708441029)	(70, 0.37823841165657784)	(72, 0.3902563868451716)	(74, 0.40194655524964007)	(76, 0.41528780929473963)	(78, 0.42643082961099893)	(80, 0.43556603337449074)	(82, 0.4464728399786598)	(84, 0.46190386227255814)	(86, 0.47791818781467943)	(88, 0.4890009495309157)	(90, 0.5002572560152183)	(92, 0.5118992175396684)	(94, 0.5253489370648095)	(96, 0.5359496299808614)	(98, 0.5454801301605043)	(100, 0.555813274892454)	(102, 0.5662910402644591)	(104, 0.5776196570687894)	(106, 0.5886108257129906)	(108, 0.6011036386697659)	(110, 0.6122080934820104)	(112, 0.6221820969578229)	(114, 0.6331949586980324)	(116, 0.6440077618861655)	(118, 0.6554424338265363)	(120, 0.6652332511582788)	(122, 0.6751735098180783)	(124, 0.6863261715103414)	(126, 0.6962399163861308)	(128, 0.705821033789793)	(130, 0.715809499329611)	(132, 0.725523185653324)	(134, 0.735603244265177)	(136, 0.7447095239006578)	(138, 0.7534711243440069)
SRR13639999_2 - polya	(1, 0.003003288625147977)	(2, 0.00808429377909014)	(3, 0.009824562147755341)	(4, 0.014360829557489284)	(5, 0.01649639434230558)	(6, 0.018988690039258238)	(7, 0.021027841064037683)	(8, 0.029290500299196002)	(9, 0.03826180067062519)	(10, 0.04779230085026813)	(12, 0.05408811938067465)	(14, 0.06685571155355494)	(16, 0.08241689242350303)	(18, 0.09194016157114321)	(20, 0.10175267199889394)	(22, 0.11161820999466494)	(24, 0.11973142790176614)	(26, 0.12881360409723772)	(28, 0.13789819063671022)	(30, 0.14644527046397726)	(32, 0.15460428490709593)	(34, 0.1646023918229176)	(36, 0.1740943264985458)	(38, 0.18504692963873232)	(40, 0.19779764940360617)	(42, 0.2083983423196582)	(44, 0.22075858635638276)	(46, 0.2334996647452529)	(48, 0.24347366822106536)	(50, 0.2548794160334251)	(52, 0.26875335610272827)	(54, 0.2834444027883438)	(56, 0.29565279515301035)	(58, 0.3075261497015488)	(60, 0.3181581770896128)	(62, 0.327956225453358)	(64, 0.3391402216176329)	(66, 0.3520186896145556)	(68, 0.3644560646593097)	(70, 0.3772766844002102)	(72, 0.3900948937971099)	(74, 0.4028841790659985)	(76, 0.41705459144741497)	(78, 0.4288243012039138)	(80, 0.43861993922365805)	(82, 0.45092474534836147)	(84, 0.4684479462350596)	(86, 0.48646044695394464)	(88, 0.49802768781436607)	(90, 0.5103638284110814)	(92, 0.5227457655438144)	(94, 0.5368101227891904)	(96, 0.5476976466413519)	(98, 0.5575487225731174)	(100, 0.5681229017051593)	(102, 0.579376797845461)	(104, 0.5914092350980602)	(106, 0.6031331483185416)	(108, 0.6166358954117029)	(110, 0.6286586912882985)	(112, 0.6390641463402759)	(114, 0.650214397688538)	(116, 0.6620178522610497)	(118, 0.6740334171056426)	(120, 0.6845690307336696)	(122, 0.6946153445295098)	(124, 0.7063223853419847)	(126, 0.7167278403939621)	(128, 0.7266680990537615)	(130, 0.7371988919937869)	(132, 0.747336798861662)	(134, 0.7573228540574791)	(136, 0.7668895093971358)	(138, 0.7759596338726028)
SRR13640002_1 - polya	(1, 0.0025720149771076245)	(2, 0.007730467445213197)	(3, 0.009552511700024018)	(4, 0.014600391561637113)	(5, 0.01706183393225226)	(6, 0.019532891312127623)	(7, 0.02136935808082877)	(8, 0.029056557984370995)	(9, 0.0377869863926466)	(10, 0.04707508533801469)	(12, 0.053132541171950404)	(14, 0.06501909636989171)	(16, 0.07905700988980621)	(18, 0.08740043417535816)	(20, 0.09675824193786281)	(22, 0.1058588482026567)	(24, 0.11379844209927958)	(26, 0.12209379133853043)	(28, 0.13074008841577917)	(30, 0.13861718475221063)	(32, 0.14596785933164533)	(34, 0.1546381939320446)	(36, 0.16389504409731698)	(38, 0.1741133951886109)	(40, 0.18618984681944145)	(42, 0.19766776412382364)	(44, 0.2095302817986144)	(46, 0.2210154103599417)	(48, 0.2308876211178679)	(50, 0.24328377180660063)	(52, 0.2587350916877668)	(54, 0.2732273143952265)	(56, 0.28445043395421293)	(58, 0.2959884450664715)	(60, 0.3056250880975223)	(62, 0.31600208684160985)	(64, 0.32699684993066613)	(66, 0.3387367762373892)	(68, 0.3505680451320843)	(70, 0.36210124873971267)	(72, 0.37391809512051744)	(74, 0.3865570247930706)	(76, 0.3992584520258151)	(78, 0.40984938472594246)	(80, 0.41890191594443527)	(82, 0.4307548186099658)	(84, 0.4457133692665459)	(86, 0.46112863286298633)	(88, 0.4708205621972834)	(90, 0.4813225560617537)	(92, 0.49309373114857247)	(94, 0.5049322113002127)	(96, 0.5149991259956582)	(98, 0.5236261930543865)	(100, 0.533020057101617)	(102, 0.5434932059383066)	(104, 0.5540288523351877)	(106, 0.5649202540746967)	(108, 0.5774654374069628)	(110, 0.5885707731025116)	(112, 0.5983708712909861)	(114, 0.6087262362642382)	(116, 0.619389281533817)	(118, 0.6301797256760938)	(120, 0.6398211762117748)	(122, 0.6504048976549569)	(124, 0.6622457815589122)	(126, 0.6720747247751675)	(128, 0.681608006456671)	(130, 0.6912807057724477)	(132, 0.7005904384886513)	(134, 0.7098496924062387)	(136, 0.718121004122339)	(138, 0.7263129920120426)
SRR13640002_2 - polya	(1, 0.0027979676947226867)	(2, 0.007643932361871258)	(3, 0.009177526338875617)	(4, 0.013509088010602664)	(5, 0.01588399529787587)	(6, 0.01810986994161574)	(7, 0.019951144214946995)	(8, 0.027470081456435452)	(9, 0.03595051962394545)	(10, 0.04436124897431889)	(12, 0.050288902183241696)	(14, 0.06224997370294967)	(16, 0.07587684557698998)	(18, 0.08406642971437846)	(20, 0.09282810690274976)	(22, 0.10172439422076407)	(24, 0.10955341551089448)	(26, 0.11790645480570663)	(28, 0.12604075263984887)	(30, 0.13362699494615882)	(32, 0.14112670216912687)	(34, 0.1501311583413186)	(36, 0.15957069368253507)	(38, 0.1692698342737774)	(40, 0.18138714969396386)	(42, 0.19233624148903417)	(44, 0.2042324116962357)	(46, 0.21625117327150498)	(48, 0.2263445292424161)	(50, 0.2389089425932026)	(52, 0.254235267353986)	(54, 0.26937169568188013)	(56, 0.28146978108354614)	(58, 0.2937096878718004)	(60, 0.3043414843612836)	(62, 0.3150021258785474)	(64, 0.3263862968426425)	(66, 0.3395083807305215)	(68, 0.35198625899796604)	(70, 0.36419972451075466)	(72, 0.3760478196716551)	(74, 0.3893477812308481)	(76, 0.4032991596674207)	(78, 0.4147698657148577)	(80, 0.4243896824797032)	(82, 0.4361969138512477)	(84, 0.451965529038001)	(86, 0.4689624616577468)	(88, 0.47983222962642036)	(90, 0.4908654527525176)	(92, 0.5025981678022954)	(94, 0.5155880453128464)	(96, 0.5261501329851931)	(98, 0.534983922743016)	(100, 0.5447143121143541)	(102, 0.5552259209880845)	(104, 0.5670235373503688)	(106, 0.5786865435830102)	(108, 0.5920057351607235)	(110, 0.6039788254420069)	(112, 0.6141274677161641)	(114, 0.6249467568862215)	(116, 0.6359222899567575)	(118, 0.6477775963746031)	(120, 0.6576570183894744)	(122, 0.6676758580386188)	(124, 0.6790023389471527)	(126, 0.6889682960453659)	(128, 0.6986914741597587)	(130, 0.7089843415728194)	(132, 0.7188829936062111)	(134, 0.7282864726627019)	(136, 0.7374639990015774)	(138, 0.7462761549885648)
SRR13640004_1 - polya	(1, 0.002884754500020444)	(2, 0.008850839615905996)	(3, 0.010880488012002152)	(4, 0.01688097394816052)	(5, 0.019230058532504254)	(6, 0.022473564443941208)	(7, 0.02514699961942864)	(8, 0.03404206886139968)	(9, 0.04442620218089406)	(10, 0.05569247082024136)	(12, 0.06260703569507742)	(14, 0.07763036534850587)	(16, 0.09663927575068487)	(18, 0.10731090163960207)	(20, 0.11928975869888628)	(22, 0.1312145573263132)	(24, 0.1409549038664163)	(26, 0.15194842314502915)	(28, 0.16290508440192109)	(30, 0.1725741721000305)	(32, 0.18210074211415253)	(34, 0.19367907533740325)	(36, 0.20466030860877577)	(38, 0.21736649729668528)	(40, 0.23295744048461517)	(42, 0.24604940979986978)	(44, 0.25973602186555456)	(46, 0.27402464828601353)	(48, 0.2858413300497259)	(50, 0.29927976476915674)	(52, 0.3153031754119449)	(54, 0.3320588320862544)	(56, 0.34607225194453095)	(58, 0.3601643022491453)	(60, 0.3719662408041693)	(62, 0.3836625196969268)	(64, 0.3955357170939445)	(66, 0.4092247863610773)	(68, 0.4223658997052931)	(70, 0.4360254825550492)	(72, 0.4497096374192858)	(74, 0.4630571556851385)	(76, 0.4784883807789447)	(78, 0.491948930311408)	(80, 0.5027016438481111)	(82, 0.5151522835854225)	(84, 0.5336402672806131)	(86, 0.5532733068505991)	(88, 0.5655445708822022)	(90, 0.5787053418380024)	(92, 0.5925098995731939)	(94, 0.6077052333279864)	(96, 0.6200256413885508)	(98, 0.6306210940325782)	(100, 0.6415802124909182)	(102, 0.6537261592486704)	(104, 0.6670540199029386)	(106, 0.6794874592301137)	(108, 0.6939849477736575)	(110, 0.7067058796702554)	(112, 0.7182792984906099)	(114, 0.7307741678539863)	(116, 0.7426670228625886)	(118, 0.7556975621416417)	(120, 0.7668114842912095)	(122, 0.777664943087283)	(124, 0.7900516955869448)	(126, 0.8015956279899227)	(128, 0.8121812518281579)	(130, 0.8234794640863299)	(132, 0.834858763992288)	(134, 0.8461471474446678)	(136, 0.8564477359149281)	(138, 0.8666672367374026)
SRR13640004_2 - polya	(1, 0.003253334717229189)	(2, 0.009283307070764257)	(3, 0.011136036962600215)	(4, 0.016438677687510027)	(5, 0.018851649509503274)	(6, 0.02166760236897809)	(7, 0.024006858147529588)	(8, 0.03310833231113753)	(9, 0.043276231903202775)	(10, 0.05427466558471172)	(12, 0.0611523724378269)	(14, 0.07595455396093011)	(16, 0.0949462639529727)	(18, 0.10510679194069378)	(20, 0.11649837785389205)	(22, 0.1278850493641942)	(24, 0.137401790572524)	(26, 0.1485746855568451)	(28, 0.1591750526037686)	(30, 0.16838710083253916)	(32, 0.17789892763797283)	(34, 0.18941337362357405)	(36, 0.20020540238344608)	(38, 0.21272975816419926)	(40, 0.22818064086958983)	(42, 0.2409040299676357)	(44, 0.25504276709976315)	(46, 0.2700931259691203)	(48, 0.2821137554530214)	(50, 0.2953113844305426)	(52, 0.31088758440978415)	(54, 0.32884235539074613)	(56, 0.3434651612081411)	(58, 0.35854254929342677)	(60, 0.37091947298729644)	(62, 0.38265015270032676)	(64, 0.39568069197937994)	(66, 0.41069910722991226)	(68, 0.4250983077155339)	(70, 0.4402395830384691)	(72, 0.45488941807179273)	(74, 0.4687726062533221)	(76, 0.4854373464740535)	(78, 0.49956625480038874)	(80, 0.510493429639904)	(82, 0.5243839894257776)	(84, 0.543918740937841)	(86, 0.5654069676011109)	(88, 0.5790051204146656)	(90, 0.5929718534454289)	(92, 0.6075823732555836)	(94, 0.6231978884579941)	(96, 0.635967964383553)	(98, 0.6472342330229004)	(100, 0.6587413074041573)	(102, 0.6715113833297164)	(104, 0.6849350748404588)	(106, 0.698307165120792)	(108, 0.7137580478261827)	(110, 0.7276486076120563)	(112, 0.7395758634409313)	(114, 0.7528938952894073)	(116, 0.7659735785974215)	(118, 0.7795004725689825)	(120, 0.791071434187889)	(122, 0.8018413481347285)	(124, 0.8147637705500672)	(126, 0.8266492539543251)	(128, 0.8380850694935884)	(130, 0.8497125467458003)	(132, 0.861371967616837)	(134, 0.8731395053515882)	(136, 0.8844057739909355)	(138, 0.8949299677929692)
SRR19173185_1 - nextera_transposase_sequence	(1, 0.0)	(2, 5.142452093944783e-06)	(3, 2.5712260469723915e-05)	(4, 5.6566973033392616e-05)	(5, 6.17094251273374e-05)	(6, 6.17094251273374e-05)	(7, 6.17094251273374e-05)	(8, 6.685187722128219e-05)	(9, 0.00011827639816073002)	(10, 0.00013370375444256437)	(12, 0.00013627498048953676)	(14, 0.00016198724095926068)	(16, 0.00017484337119412263)	(18, 0.00019284195352292936)	(20, 0.00024940892655632196)	(22, 0.00028283486516696306)	(24, 0.0003625428726231072)	(26, 0.00047310559264292)	(28, 0.001568447888653159)	(30, 0.005898392551754666)	(32, 0.015363075630660038)	(34, 0.026036234951642437)	(36, 0.042121825101501725)	(38, 0.07023561069909784)	(40, 0.1038981021060604)	(42, 0.13855308676715428)	(44, 0.1757664413449857)	(46, 0.21682635008908785)	(48, 0.2607531758755642)	(50, 0.30649271602515604)	(52, 0.354644066206808)	(54, 0.40362849362767905)	(56, 0.45713313643912756)	(58, 0.5145460428419741)	(60, 0.5748284375132418)	(62, 0.637859472828723)	(64, 0.7034025959920962)	(66, 0.772152038036044)	(68, 0.8451928563523888)	(70, 0.9258419325417249)	(72, 1.010962370826746)	(74, 1.0984097686842769)	(76, 1.1899325598262591)	(78, 1.288189391985262)	(80, 1.3942216117103097)	(82, 1.5067693182383852)	(84, 1.6219139630739028)	(86, 1.744363461108869)	(88, 1.8738066939916)	(90, 2.0119766680777555)	(92, 2.161120634932389)	(94, 2.3162195613118106)	(96, 2.4797649652555367)	(98, 2.6495867319799222)	(100, 2.836543149081332)	(102, 3.0317866277321333)	(104, 3.2393591352781677)	(106, 3.455704666096471)	(108, 3.678995078467648)	(110, 3.9181062447058457)	(112, 4.17243906914212)	(114, 4.438077574506932)	(116, 4.714170684978733)	(118, 5.0019808725465875)	(120, 5.308504443284307)	(122, 5.626045717633303)	(124, 5.964311073920898)	(126, 6.315303999141005)	(128, 6.679086202718752)	(130, 7.057233846220935)	(132, 7.45036916635092)	(134, 7.870808335873704)	(136, 8.299848256523612)	(138, 8.744647221615413)
SRR19173185_1 - polya	(1, 0.00025712260469723915)	(2, 0.00039082635913980355)	(3, 0.0005142452093944783)	(4, 0.0010233479666950118)	(5, 0.002041553481296079)	(6, 0.0032088901066215448)	(7, 0.003466012711318784)	(8, 0.004072822058404269)	(9, 0.00450478803429563)	(10, 0.007983656875849277)	(12, 0.013090111805136445)	(14, 0.019973283932881537)	(16, 0.03271370899562974)	(18, 0.04207554303265622)	(20, 0.049997490483378156)	(22, 0.059706440036745904)	(24, 0.06736097997858272)	(26, 0.0745141308412599)	(28, 0.08088048653356356)	(30, 0.08804906475252258)	(32, 0.09430742895085338)	(34, 0.1014117265186381)	(36, 0.11096383128314052)	(38, 0.12039251719738829)	(40, 0.13196560563481102)	(42, 0.14072834400289294)	(44, 0.15037815535718033)	(46, 0.1590868979782758)	(48, 0.1663043294921273)	(50, 0.17330834924408012)	(52, 0.1808343278835683)	(54, 0.18884883947198125)	(56, 0.19830838009879267)	(58, 0.2083618739424547)	(60, 0.21613469028245225)	(62, 0.2243343301462472)	(64, 0.23153890552986386)	(66, 0.2389594639014262)	(68, 0.24751907541179727)	(70, 0.25437910650511963)	(72, 0.26290786330292704)	(74, 0.27271194822003275)	(76, 0.28125356114807504)	(78, 0.2888361067605967)	(80, 0.29826736390089137)	(82, 0.31033669896537974)	(84, 0.31788067618719673)	(86, 0.327543343671719)	(88, 0.3346810671781144)	(90, 0.3420964830975828)	(92, 0.35096464173359054)	(94, 0.360143918721282)	(96, 0.3678267421496355)	(98, 0.3788495882130061)	(100, 0.38886708489201055)	(102, 0.3965627644505989)	(104, 0.40713307472970245)	(106, 0.41449706612823134)	(108, 0.42343721909355436)	(110, 0.433621845465612)	(112, 0.44499180704532393)	(114, 0.4561380719589493)	(116, 0.46450227028975044)	(118, 0.4727301936400621)	(120, 0.48175776829098216)	(122, 0.4911684556229011)	(124, 0.5012862301177374)	(126, 0.5126150520806978)	(128, 0.5227945360006616)	(130, 0.5320123813790576)	(132, 0.5406774131573545)	(134, 0.5510934498736396)	(136, 0.562332278924956)	(138, 0.5725374751053894)
SRR19173185_2 - nextera_transposase_sequence	(1, 0.0)	(2, 1.0284904187889566e-05)	(3, 1.0284904187889566e-05)	(4, 2.5712260469723915e-05)	(5, 3.599716465761348e-05)	(6, 3.599716465761348e-05)	(7, 4.1139616751558265e-05)	(8, 4.628206884550305e-05)	(9, 0.00010284904187889566)	(10, 0.0001542735628183435)	(12, 0.00017227214514715022)	(14, 0.00022883911818054285)	(16, 0.00030083344749576985)	(18, 0.0003856839070458587)	(20, 0.0005091027573005336)	(22, 0.0006530914159309875)	(24, 0.0008356484652660272)	(26, 0.0010233479666950118)	(28, 0.0022241105306311185)	(30, 0.006651761783517578)	(32, 0.01627843210338221)	(34, 0.02713414847369965)	(36, 0.043399724446847)	(38, 0.07171149445006)	(40, 0.10556168535845153)	(42, 0.14036837235631683)	(44, 0.17785427689512728)	(46, 0.21915845211369178)	(48, 0.26338096889556994)	(50, 0.30927221138193317)	(52, 0.35755983654407475)	(54, 0.40681424269987787)	(56, 0.46054258217741295)	(58, 0.5182254673151916)	(60, 0.5785130044385532)	(62, 0.6416751722824301)	(64, 0.7073005746793064)	(66, 0.7760988700181466)	(68, 0.8491165473000686)	(70, 0.9298324753666259)	(72, 1.0149246301651302)	(74, 1.1023231747277689)	(76, 1.1937354031497311)	(78, 1.2916014089495944)	(80, 1.3974202169127432)	(82, 1.5096002381161018)	(84, 1.6243463429143388)	(86, 1.7465824291874061)	(88, 1.8760616592347947)	(90, 2.0142984851981716)	(92, 2.163599296841671)	(94, 2.3185593770145556)	(96, 2.4820790686978116)	(98, 2.6515974307486547)	(100, 2.8380524587709046)	(102, 3.032450004052252)	(104, 3.2388783160073835)	(106, 3.45448333372416)	(108, 3.6771000848710296)	(110, 3.915079911648559)	(112, 4.168067984862267)	(114, 4.432276888544962)	(116, 4.706588139366211)	(118, 4.992343917322534)	(120, 5.296177985615122)	(122, 5.6112071721162255)	(124, 5.946225069906494)	(126, 6.294140237548375)	(128, 6.654903821746977)	(130, 7.029284619090346)	(132, 7.4173443390036065)	(134, 7.830689495862794)	(136, 8.252532554807226)	(138, 8.689371004057602)
SRR19173185_2 - polya	(1, 0.00028797731726090784)	(2, 0.0005039603052065888)	(3, 0.0006479489638370427)	(4, 0.0011570517211375762)	(5, 0.002067265741765803)	(6, 0.003106041064742649)	(7, 0.0034557278071308943)	(8, 0.00413967393562555)	(9, 0.004515072938483519)	(10, 0.007680252202306535)	(12, 0.012514157170614632)	(14, 0.019237913283447435)	(16, 0.031883202982457656)	(18, 0.0410624799701491)	(20, 0.04917212692230001)	(22, 0.05918705237525748)	(24, 0.06690073051617465)	(26, 0.07401788421419424)	(28, 0.08035338519393422)	(30, 0.08720056015702168)	(32, 0.09349235029396313)	(34, 0.10104404119392105)	(36, 0.11004076113227745)	(38, 0.1195542975060753)	(40, 0.13046400962337915)	(42, 0.13884363531046218)	(44, 0.1481926132172538)	(46, 0.15729989587563)	(48, 0.1646844570825347)	(50, 0.17182218058893006)	(52, 0.17926330876886817)	(54, 0.18741409533777065)	(56, 0.19643909876264376)	(58, 0.20590121061550215)	(60, 0.2130492190260854)	(62, 0.22080403678375415)	(64, 0.22778491550128416)	(66, 0.23499463333699477)	(68, 0.24287029871887117)	(70, 0.24963005199636162)	(72, 0.25799167910111587)	(74, 0.26759006593446377)	(76, 0.2758179892847754)	(78, 0.28335682405449847)	(80, 0.2928163646813099)	(82, 0.3047854219299664)	(84, 0.312082561451274)	(86, 0.3216398086678704)	(88, 0.3287801034003127)	(90, 0.3357584108917958)	(92, 0.3442023172300531)	(94, 0.3528853475906789)	(96, 0.36023134040687904)	(98, 0.3705882389240839)	(100, 0.38067515870635654)	(102, 0.38814457037281136)	(104, 0.3984269033346539)	(106, 0.40560319523175387)	(108, 0.41422194494120534)	(110, 0.4238717562954927)	(112, 0.43427750810758997)	(114, 0.44524892965002116)	(116, 0.4539165326543651)	(118, 0.4621984517516632)	(120, 0.4708429137215844)	(122, 0.4796956450013103)	(124, 0.4889597724485518)	(126, 0.49945037472019915)	(128, 0.5096272874141159)	(130, 0.5189402681562499)	(132, 0.5269959193614144)	(134, 0.5367305811752519)	(136, 0.5476557206488376)	(138, 0.5569455603565489)
SRR19173191_1 - nextera_transposase_sequence	(1, 6.029071095590138e-06)	(2, 6.029071095590138e-06)	(3, 1.2058142191180277e-05)	(4, 1.8087213286770415e-05)	(5, 1.8087213286770415e-05)	(6, 1.8087213286770415e-05)	(7, 2.4116284382360553e-05)	(8, 3.617442657354083e-05)	(9, 5.426163986031125e-05)	(10, 6.330524650369645e-05)	(12, 7.536338869487673e-05)	(14, 0.00010249420862503235)	(16, 0.00012359595745959782)	(18, 0.00016579945512872882)	(20, 0.0002411628438236055)	(22, 0.00028939541258832664)	(24, 0.0003557151946398182)	(26, 0.0004401221899780801)	(28, 0.002480962755835342)	(30, 0.01008060687182671)	(32, 0.026268662763486234)	(34, 0.04278831756540321)	(36, 0.0679205004273707)	(38, 0.11186941417867502)	(40, 0.16394551576683486)	(42, 0.21481278860032882)	(44, 0.269002079607493)	(46, 0.3263445747976508)	(48, 0.38855253036194987)	(50, 0.45329571032194454)	(52, 0.5198054081129472)	(54, 0.5878947225309944)	(56, 0.6607741339344879)	(58, 0.7392394797080458)	(60, 0.8186302878947769)	(62, 0.9008065269276704)	(64, 0.9860696503615061)	(66, 1.0738348383000118)	(68, 1.1690730598615013)	(70, 1.2711181026899123)	(72, 1.379110824154123)	(74, 1.488948441373584)	(76, 1.5959674678558566)	(78, 1.7130640866744082)	(80, 1.836798712769205)	(82, 1.969977878735243)	(84, 2.1060268825427824)	(86, 2.2450030003672308)	(88, 2.3925192973985823)	(90, 2.549594686651992)	(92, 2.715692580799953)	(94, 2.8893660027795223)	(96, 3.069318702305149)	(98, 3.25455588264606)	(100, 3.4577928547428565)	(102, 3.6694373664824527)	(104, 3.8897215371020293)	(106, 4.123366129269434)	(108, 4.363296028053991)	(110, 4.6181659650134215)	(112, 4.8865832247246415)	(114, 5.166434617768649)	(116, 5.458690824591834)	(118, 5.7633488306586464)	(120, 6.081982223525037)	(122, 6.410708281405446)	(124, 6.757521552572626)	(126, 7.115850349532382)	(128, 7.492200039996858)	(130, 7.882042791573264)	(132, 8.286373400992373)	(134, 8.71785894662602)	(136, 9.161140369858188)	(138, 9.617730967533873)
SRR19173191_1 - polya	(1, 0.0009465641620076518)	(2, 0.0011033200104929952)	(3, 0.0012721340011695192)	(4, 0.001609761982522567)	(5, 0.002315163300706613)	(6, 0.0033702507424348874)	(7, 0.003695820581596755)	(8, 0.004105797416096884)	(9, 0.00434696025992049)	(10, 0.007292161490116272)	(12, 0.0114944240437426)	(14, 0.016784933930122946)	(16, 0.02703435479262618)	(18, 0.036909973247202826)	(20, 0.04343945724372694)	(22, 0.05090646179561534)	(24, 0.057960474977455795)	(26, 0.06488184859519328)	(28, 0.0705461608895002)	(30, 0.07744643275840313)	(32, 0.08366240505795655)	(34, 0.0909153775859515)	(36, 0.10103818795544733)	(38, 0.10981350093507877)	(40, 0.1196408868208907)	(42, 0.12820216777662868)	(44, 0.13747186458609856)	(46, 0.1458070553757519)	(48, 0.15305701336819905)	(50, 0.16064459934199923)	(52, 0.16779507766136914)	(54, 0.17542185259729068)	(56, 0.18509851170571284)	(58, 0.1944194556194952)	(60, 0.20197991077336525)	(62, 0.20932030483224623)	(64, 0.2161180824925241)	(66, 0.22344641840921392)	(68, 0.23112444044944797)	(70, 0.23761473548385073)	(72, 0.24526562670415464)	(74, 0.2533053930101241)	(76, 0.25969319383590184)	(78, 0.2657192503959442)	(80, 0.2737771039152004)	(82, 0.28256146050147524)	(84, 0.2892899038441538)	(86, 0.29813153660583674)	(88, 0.30488108169734995)	(90, 0.311690917499819)	(92, 0.31968848030811925)	(94, 0.32756244715896)	(96, 0.33499327728427486)	(98, 0.3437233722306894)	(100, 0.35273683351859664)	(102, 0.360381695667805)	(104, 0.3697569012214476)	(106, 0.37713346970690215)	(108, 0.38489288420692663)	(110, 0.39313763893014614)	(112, 0.4035558737833259)	(114, 0.41390778885445423)	(116, 0.4229875699244129)	(118, 0.43138606596057)	(120, 0.4401885097601316)	(122, 0.44902411345071896)	(124, 0.4577722956104202)	(126, 0.46874219046884646)	(128, 0.479796492322611)	(130, 0.489726372417048)	(132, 0.49846551097010583)	(134, 0.508274809642631)	(136, 0.5187533352067667)	(138, 0.5282641948600602)
SRR19173191_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 6.029071095590138e-06)	(5, 1.2058142191180277e-05)	(6, 1.2058142191180277e-05)	(7, 1.8087213286770415e-05)	(8, 1.8087213286770415e-05)	(9, 3.617442657354083e-05)	(10, 6.933431759928659e-05)	(12, 0.00011455235081621264)	(14, 0.00015374131293754853)	(16, 0.0002140320238934499)	(18, 0.0002924099481361217)	(20, 0.0003527006590920231)	(22, 0.00042504951223910475)	(24, 0.0005576890763420878)	(26, 0.0007325321381142019)	(28, 0.0028427070215707503)	(30, 0.01040014763989299)	(32, 0.026389244185398036)	(34, 0.04276118674547306)	(36, 0.06760095965930443)	(38, 0.11109769307843947)	(40, 0.16250758231053658)	(42, 0.21284731142316646)	(44, 0.2664246517141282)	(46, 0.32296829498412033)	(48, 0.3842929916329154)	(50, 0.4480413748621378)	(52, 0.5135170869602466)	(54, 0.5803222092349332)	(56, 0.6516521493668601)	(58, 0.7284595005891307)	(60, 0.8062164305089567)	(62, 0.8863066109427762)	(64, 0.9694866903130854)	(66, 1.0550723690505353)	(68, 1.1480165290601527)	(70, 1.2476770742702579)	(72, 1.3533697051115008)	(74, 1.4604339496269905)	(76, 1.565113696524174)	(78, 1.6796238438427178)	(80, 1.800594140840186)	(82, 1.9305507683056313)	(84, 2.0635822220298277)	(86, 2.199070522225477)	(88, 2.342918129495162)	(90, 2.496246451062663)	(92, 2.6588203531552512)	(94, 2.828445253894132)	(96, 3.003855048349231)	(98, 3.1845342509418764)	(100, 3.3826645998207074)	(102, 3.5889733836407065)	(104, 3.8034756750796124)	(106, 4.03043101286646)	(108, 4.263216462402743)	(110, 4.510429479070773)	(112, 4.770258327006326)	(114, 5.040128592851584)	(116, 5.321797750830911)	(118, 5.615540123679159)	(120, 5.9228720227768665)	(122, 6.2386295487306604)	(124, 6.571817119221806)	(126, 6.916197660201915)	(128, 7.277691719486857)	(130, 7.65147302566461)	(132, 8.038436895792872)	(134, 8.451790010106532)	(136, 8.876414472833398)	(138, 9.313844682567296)
