"","SRR13639990","SRR13639992","SRR13639993","SRR13639994","SRR13639995","SRR13639999","SRR13640002","SRR13640004","SRR19173185","SRR19173191","SRR19173211","SRR19173215","SRR19173217","SRR19173231","SRR19173232","SRR19173243"
"ENSG00000276632.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223603.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000132693.12",0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000235226.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000288775.2",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000158716.9",23,38,50,23,98,93,163,24,18,10,120,116,115,74,32,75
"ENSG00000181036.14",48,86,28,25,605,432,1316,166,38,3,1667,1517,1302,1400,1111,2681
"ENSG00000158714.11",0,4,8,1,24,9,18,1,0,1,5,41,21,16,27,1
"ENSG00000256029.6",3,2,3,5,3,0,5,2,0,0,2,2,2,1,0,1
"ENSG00000188004.11",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000212161.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000243284.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272668.2",45,17,26,37,29,9,45,7,2,0,0,0,15,6,2,0
"ENSG00000213085.10",596,455,330,684,94,209,125,39,25,1,19,27,9,11,46,24
"ENSG00000290105.1",18,5,6,20,8,5,12,2,12,3,2,8,1,7,18,8
"ENSG00000266458.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287040.1",11,8,16,13,12,5,4,2,2,0,5,0,0,0,0,0
"ENSG00000279430.1",116,72,67,107,52,37,45,19,12,4,2,0,31,3,1,0
"ENSG00000158710.15",15912,9961,20144,16562,16287,15974,19995,6586,13248,1641,11953,9224,12442,7824,17830,34048
"ENSG00000085552.18",19,37,83,26,15,4,9,1,15,4,0,14,50,1,0,17
"ENSG00000162723.10",22,76,29,41,3,0,14,0,0,0,0,4,0,1,5,5
"ENSG00000224259.9",1,1,2,1,2,0,2,0,0,0,0,0,0,0,0,0
"ENSG00000273933.1",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000177807.10",2,3,3,1,6,0,1,0,0,0,0,2,0,0,0,0
"ENSG00000237409.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000143315.8",39,59,39,26,152,54,181,28,21,9,251,60,258,177,36,77
"ENSG00000225279.2",1,2,0,1,0,0,0,0,0,0,7,0,0,0,0,0
"ENSG00000162728.5",1,0,0,1,2,0,0,0,0,0,6,3,9,1,0,11
"ENSG00000162729.14",118,90,90,53,338,236,279,47,60,41,908,578,579,484,321,470
"ENSG00000018625.15",0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0
"ENSG00000132681.17",1,2,6,0,5,13,0,3,0,8,26,0,0,36,0,0
"ENSG00000143318.13",7,12,9,6,6,6,6,0,0,0,8,3,4,10,4,15
"ENSG00000227741.1",5,16,16,11,7,5,7,1,0,0,3,3,2,9,3,30
"ENSG00000162734.13",584,930,1076,740,1006,1565,1678,366,146,97,592,438,657,270,440,563
"ENSG00000132716.19",410,460,256,406,724,457,602,94,154,123,1188,1136,1377,885,400,635
"ENSG00000258465.8",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
"ENSG00000228606.4",5,3,2,5,1,1,4,1,1,2,30,26,14,8,14,11
"ENSG00000224261.2",1,0,2,0,6,0,3,0,0,0,1,9,0,1,1,1
"ENSG00000162735.19",278,390,391,311,336,436,404,85,101,61,722,354,669,452,437,872
"ENSG00000122218.17",2631,3436,2787,3464,1911,1853,2411,385,1034,409,4096,2906,4943,5614,3548,5432
"ENSG00000235082.2",10,1,4,10,2,3,4,0,2,5,32,58,43,1,21,9
"ENSG00000202078.1",2,1,2,2,2,3,1,0,1,2,5,4,3,2,1,6
"ENSG00000162736.18",898,1215,1006,1039,1417,1926,2184,446,674,212,2267,1921,2293,2920,1863,1933
"ENSG00000171786.6",12,9,9,23,2,15,6,0,0,2,0,0,0,0,0,0
"ENSG00000201608.1",1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"ENSG00000162738.7",2,0,1,0,1,1,2,1,0,0,0,15,0,0,0,0
"ENSG00000162739.14",169,96,111,96,1223,226,1202,163,62,39,1818,520,936,1738,831,1155
"ENSG00000234425.1",4,12,12,6,8,5,5,1,0,0,1,0,1,0,0,0
"ENSG00000066294.15",908,1395,1615,1359,1721,981,1440,378,257,161,1597,1019,1661,1539,1013,1548
"ENSG00000117090.16",334,226,339,178,385,285,277,40,17,19,494,107,258,197,153,143
"ENSG00000235101.1",0,2,0,1,2,0,0,0,0,0,3,0,9,2,0,0
"ENSG00000228863.8",12,13,10,11,33,15,37,7,4,0,16,41,4,37,13,7
"ENSG00000117091.10",547,473,502,398,880,980,1010,226,83,29,775,585,807,441,292,444
"ENSG00000026751.17",241,592,723,472,956,435,1704,296,246,43,2079,849,1474,1994,856,2460
"ENSG00000275801.1",1,1,0,1,1,0,0,0,0,0,2,0,0,5,0,0
"ENSG00000274562.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000122224.18",467,335,220,322,965,486,627,94,110,35,2353,1039,1332,669,818,1321
"ENSG00000122223.13",139,329,546,285,1042,867,1708,261,152,51,1162,672,1912,851,1088,1673
"ENSG00000226003.2",0,1,7,2,4,3,0,1,0,0,5,7,0,0,0,0
"ENSG00000179914.5",12,2,7,10,6,6,6,2,4,1,2,3,8,0,4,49
"ENSG00000213080.3",3,1,1,0,0,1,0,1,3,2,1,0,1,0,5,9
"ENSG00000232188.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000198358.4",2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233691.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000158764.7",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"ENSG00000158769.18",174,272,250,309,399,280,444,163,207,41,154,104,242,618,206,360
"ENSG00000270149.5",0,0,0,0,3,2,2,0,1,0,3,0,0,0,0,0
"ENSG00000232879.2",2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000215845.11",31,21,26,38,111,94,68,19,16,1,160,164,139,90,52,81
"ENSG00000158773.14",1130,1790,1550,1472,1446,2653,1660,377,70,29,187,270,1552,294,401,173
"ENSG00000289121.1",6,7,2,4,5,7,3,1,0,0,6,19,26,15,10,9
"ENSG00000186517.14",2958,4160,5713,3904,6491,4319,7581,1646,1377,602,6340,3709,7534,7821,4318,2782
"ENSG00000143217.9",15,23,58,36,4,15,2,2,0,0,0,0,12,6,0,0
"ENSG00000228917.1",1,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162755.14",2,0,0,3,2,1,3,0,3,0,4,22,0,4,3,0
"ENSG00000143256.5",203,248,177,199,169,318,226,44,5,6,61,78,90,58,35,73
"ENSG00000158793.14",81,80,62,49,286,121,322,73,37,27,246,172,409,141,94,198
"ENSG00000158796.17",233,311,357,270,243,382,235,75,119,39,416,327,392,327,264,396
"ENSG00000238934.1",0,0,0,0,1,3,1,0,0,0,2,0,0,0,0,0
"ENSG00000143222.12",402,400,409,247,535,728,803,110,99,26,805,631,837,303,306,574
"ENSG00000224985.1",1,0,0,0,0,0,0,1,0,0,4,0,2,1,1,0
"ENSG00000143258.17",156,169,134,91,351,220,332,51,65,14,341,246,360,200,58,92
"ENSG00000290115.1",1,0,0,0,1,2,1,0,0,0,1,1,0,0,0,0
"ENSG00000143224.18",72,30,27,31,183,128,193,14,51,34,752,386,738,215,256,286
"ENSG00000158850.15",421,463,449,384,570,689,645,116,176,62,1074,726,970,709,431,981
"ENSG00000158859.10",7,5,4,3,23,6,14,0,0,0,6,5,2,0,0,3
"ENSG00000158864.13",379,567,772,474,735,754,817,140,277,167,2250,1110,2747,1052,1038,1812
"ENSG00000158869.11",7775,6496,11811,7928,4114,4487,5279,1659,542,396,1584,1185,3037,2711,1324,2136
"ENSG00000158874.11",38,50,26,67,7,9,10,5,4,7,0,15,60,24,4,2
"ENSG00000158882.15",381,320,354,437,62,110,102,28,27,27,124,121,198,233,63,116
"ENSG00000284035.1",0,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0
"ENSG00000143257.12",36,21,21,55,2,6,6,1,4,19,9,0,3,5,4,2
"ENSG00000248485.2",7,3,3,6,3,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000158887.19",41,43,43,73,82,54,33,19,2,0,8,0,10,22,8,5
"ENSG00000143252.16",194,260,321,235,362,291,544,98,197,32,916,395,762,372,643,897
"ENSG00000289106.2",8,9,5,7,28,9,9,3,0,0,13,7,5,8,0,2
"ENSG00000188931.4",15,11,17,8,36,12,33,7,1,0,4,0,1,29,5,19
"ENSG00000288670.1",14,6,6,5,34,4,24,2,1,0,19,3,1,25,0,1
"ENSG00000236484.2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000289141.2",7,1,1,4,2,3,5,2,0,0,0,0,4,0,1,0
"ENSG00000283696.1",1,3,6,2,12,3,19,4,2,0,1,1,13,1,3,0
"ENSG00000288093.1",5,2,4,6,6,8,8,2,4,2,22,31,27,10,27,12
"ENSG00000206921.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283360.1",1,1,0,2,3,0,3,0,1,0,8,0,0,2,0,6
"ENSG00000215840.3",0,1,1,0,1,1,1,1,0,0,5,1,0,0,0,1
"ENSG00000277882.1",3,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"ENSG00000283317.1",2,1,1,3,0,2,9,0,0,0,0,0,0,0,0,0
"ENSG00000143226.16",2183,2136,1787,2080,4921,3367,4362,2142,1449,178,909,360,1828,3697,2496,2526
"ENSG00000273112.1",13,11,15,3,52,18,16,5,0,0,0,0,0,1,0,2
"ENSG00000289273.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000173110.8",810,279,169,241,1411,490,1639,434,131,26,133,97,335,1162,130,90
"ENSG00000224203.2",0,0,0,0,1,2,2,4,0,0,0,0,0,0,0,1
"ENSG00000203747.13",107,449,504,502,2085,1374,5580,628,605,1004,3601,2710,6477,2960,3351,9868
"ENSG00000289768.1",0,2,2,1,25,1,10,7,6,0,0,0,0,10,15,2
"ENSG00000224515.1",0,0,0,0,0,0,11,1,0,0,0,0,6,3,8,0
"ENSG00000244682.8",135,1856,439,547,650,423,737,246,72,49,221,42,273,150,318,443
"ENSG00000225217.1",40,820,274,249,257,188,266,109,6,75,80,25,96,40,57,59
"ENSG00000231586.2",1,3,1,0,2,0,1,1,0,0,0,0,0,0,0,2
"ENSG00000162747.13",1681,2162,3122,3215,22490,5176,14617,8768,4597,47,1,0,25,14846,9738,1118
"ENSG00000072694.22",32,57,34,60,249,86,144,51,86,7,235,113,204,345,150,448
"ENSG00000234211.2",0,0,0,0,0,0,4,1,0,0,2,0,0,2,0,0
"ENSG00000213075.7",2,0,0,2,4,1,0,2,0,0,2,4,1,4,0,0
"ENSG00000199595.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000132185.18",14,4,0,12,177,50,35,10,26,6,860,443,715,671,193,572
"ENSG00000162746.15",7,3,6,8,19,16,41,2,1,0,26,15,12,31,10,31
"ENSG00000241347.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226889.4",4,1,0,1,3,2,1,0,0,0,5,0,0,1,0,2
"ENSG00000081721.12",88,122,164,113,129,323,170,35,52,2,357,355,225,129,163,395
"ENSG00000118217.7",779,1205,1368,773,2187,1544,2304,717,383,208,1349,892,1628,1721,1201,1649
"ENSG00000229808.1",1,14,13,12,44,14,26,2,4,0,0,0,0,4,4,0
"ENSG00000162745.11",3,30,183,35,6,6,19,17,5,10,36,40,0,6,4,8
"ENSG00000227818.1",0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000198929.13",7,10,7,10,1,1,6,2,0,0,0,0,0,0,0,5
"ENSG00000285636.2",0,0,1,0,0,2,0,0,0,0,0,0,0,5,0,0
"ENSG00000266144.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227094.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252262.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207729.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254706.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000171722.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239887.6",3,10,3,13,2,2,17,2,0,0,13,0,0,1,0,12
"ENSG00000198574.6",26,543,63,438,452,928,409,38,31,25,733,311,1132,1195,708,1460
"ENSG00000289713.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227243.3",0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3
"ENSG00000152332.16",1301,2256,1788,1644,2209,2998,2788,400,237,51,1539,1029,1236,1863,1138,2205
"ENSG00000227941.1",0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259788.1",1,1,0,0,0,1,0,0,0,5,0,0,0,0,3,0
"ENSG00000117143.14",515,580,340,637,269,490,298,57,162,24,255,276,132,734,237,656
"ENSG00000272574.1",3,3,0,1,1,3,0,3,0,3,3,3,9,7,14,17
"ENSG00000162733.19",43,47,40,40,17,25,9,2,0,0,3,60,0,11,29,22
"ENSG00000243173.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000132196.16",63,39,48,38,197,102,148,30,25,19,309,56,231,99,53,171
"ENSG00000185860.14",4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230739.1",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227667.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000117152.14",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000143248.13",11,6,3,3,13,9,18,4,0,2,16,12,3,20,9,0
"ENSG00000232892.1",0,0,0,0,0,0,0,0,2,0,4,1,3,0,0,0
"ENSG00000225755.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232995.7",3,2,2,0,19,6,13,1,2,0,23,23,29,38,16,7
"ENSG00000237756.1",1,0,1,0,0,0,1,0,0,0,0,7,0,7,0,0
"ENSG00000143228.13",15,20,18,27,14,23,33,3,11,3,53,8,44,67,18,53
"ENSG00000225122.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200327.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000212527.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228289.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000212538.2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000225719.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000199849.1",0,1,3,0,2,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000213070.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000185630.20",82,33,22,41,120,41,87,18,171,35,76,33,19,194,184,87
"ENSG00000207082.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000269887.1",2,1,1,0,3,0,0,2,0,0,3,0,0,3,3,10
"ENSG00000276359.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233693.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271917.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201987.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000289408.2",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225487.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201270.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162761.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224702.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238022.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000143171.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237463.7",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230748.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162763.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237783.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236206.2",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000143198.13",72,75,102,73,170,151,288,28,9,17,234,128,142,183,72,150
"ENSG00000143149.13",225,404,421,283,467,555,550,105,194,94,927,689,1127,1038,613,913
"ENSG00000206990.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230175.1",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
"ENSG00000225272.2",1,0,0,0,1,1,0,1,0,0,2,0,3,0,1,7
"ENSG00000215838.4",0,1,2,1,3,2,1,1,1,0,7,6,5,1,0,1
"ENSG00000273365.1",2,2,0,0,0,0,0,0,0,0,8,4,0,0,0,0
"ENSG00000143183.18",277,464,361,328,593,629,776,176,184,67,1206,542,985,522,778,1198
"ENSG00000224358.1",5,1,0,0,2,0,1,0,0,0,15,0,0,5,0,3
"ENSG00000230659.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000143179.16",9,24,39,30,35,41,52,5,4,4,77,44,189,82,39,52
"ENSG00000236364.4",0,0,2,1,2,2,1,1,5,5,0,9,26,2,1,0
"ENSG00000283936.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271527.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226292.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207341.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000188859.7",1,1,0,1,5,1,5,0,0,0,0,0,0,0,0,0
"ENSG00000203307.2",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"ENSG00000230898.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215952.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229588.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215835.2",1,1,3,3,1,3,3,0,1,1,6,6,17,8,13,19
"ENSG00000225325.1",0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"ENSG00000230231.1",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234142.2",1,0,0,0,2,0,1,0,2,0,7,4,1,0,0,0
"ENSG00000238087.3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000290604.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215834.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234984.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232341.2",0,0,1,1,4,3,1,1,2,0,5,2,1,2,2,8
"ENSG00000232148.1",3,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000232223.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000143157.12",359,490,497,336,857,938,1087,154,122,92,856,409,896,973,431,461
"ENSG00000152382.6",164,185,158,124,188,368,210,40,72,32,624,345,386,274,375,1053
"ENSG00000225171.2",2,1,3,2,1,6,3,0,2,0,16,17,12,6,2,1
"ENSG00000143195.13",9,10,19,20,3,16,8,2,5,0,2,6,0,18,6,0
"ENSG00000143194.13",1,1,2,0,1,2,3,0,15,0,5,0,0,11,0,0
"ENSG00000200036.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227907.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000143167.12",36,18,17,5,188,43,91,9,14,20,254,245,107,85,169,188
"ENSG00000198842.10",1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213068.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231605.6",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272205.2",2,11,1,5,4,1,5,0,0,0,0,0,0,0,0,0
"ENSG00000143190.23",595,718,461,715,419,422,278,51,100,38,362,617,484,482,173,196
"ENSG00000272033.1",10,9,7,4,8,5,1,0,6,4,3,22,20,0,8,5
"ENSG00000198821.12",1155,2221,955,1456,2290,3913,2260,250,206,15,2762,1178,850,823,343,364
"ENSG00000287218.1",7,4,2,4,18,4,4,0,0,0,0,0,0,0,0,0
"ENSG00000233411.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000273160.1",6,5,0,1,3,4,3,1,0,0,8,12,1,0,2,6
"ENSG00000227776.1",4,1,0,0,9,3,5,0,0,0,21,0,0,0,1,0
"ENSG00000143162.9",2918,2515,3172,1725,863,1796,1889,434,679,83,509,72,22,725,113,170
"ENSG00000231029.2",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000241666.2",18,12,2,15,13,10,9,2,0,0,8,0,1,5,1,0
"ENSG00000198771.11",494,750,751,691,2962,1802,3583,637,535,239,3475,1376,2047,2306,1529,1674
"ENSG00000197965.12",86,189,167,119,905,218,553,119,200,10,264,123,207,245,150,83
"ENSG00000143199.18",12,3,2,1,4,3,1,0,0,0,2,0,0,15,7,0
"ENSG00000250762.1",3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
"ENSG00000232194.1",1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000143158.11",260,265,260,235,319,339,330,83,93,24,285,212,333,130,160,330
"ENSG00000143164.16",321,349,360,264,583,389,755,149,114,68,573,206,440,606,331,585
"ENSG00000221545.1",0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ENSG00000224837.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000143147.15",2,2,3,11,9,4,7,2,0,5,6,0,37,0,1,0
"ENSG00000143155.13",245,234,265,189,526,340,594,118,39,15,273,181,270,153,140,177
"ENSG00000237049.1",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ENSG00000237131.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213064.10",394,607,604,549,629,1411,782,155,152,85,928,869,1362,808,671,1291
"ENSG00000214262.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206880.1",2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
"ENSG00000143178.13",18,29,20,14,72,26,124,9,4,2,116,75,65,96,50,48
"ENSG00000227722.2",0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0
"ENSG00000207974.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228697.6",0,3,1,2,0,1,1,0,0,0,0,0,0,1,1,16
"ENSG00000283255.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215833.3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000143185.4",35,70,14,26,67,51,57,13,0,0,31,15,31,36,20,26
"ENSG00000227777.1",8,13,1,5,5,3,2,1,0,0,6,0,9,5,3,0
"ENSG00000143184.5",22,6,27,23,29,41,36,8,0,0,12,1,1,14,6,15
"ENSG00000229757.2",2,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0
"ENSG00000143196.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285622.2",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000235736.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225826.2",0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229612.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287831.1",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000203601.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213063.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287282.1",1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000252987.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237707.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000143153.14",78,105,125,111,48,97,68,19,18,15,135,174,171,71,21,133
"ENSG00000289466.1",0,0,0,1,1,0,0,0,0,0,8,16,20,0,0,0
"ENSG00000143156.14",24,22,36,48,39,28,49,10,27,0,232,89,169,94,38,146
"ENSG00000235575.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000117475.14",495,388,391,475,410,239,439,93,82,46,475,113,281,843,262,459
"ENSG00000117477.13",7,3,2,8,10,3,8,1,2,0,6,1,3,1,1,1
"ENSG00000117479.15",179,142,354,134,64,137,91,28,63,9,41,1,53,97,100,162
"ENSG00000234604.2",2,0,1,1,7,0,0,0,1,0,3,0,0,1,1,3
"ENSG00000213062.5",8,7,10,6,14,2,10,2,0,0,3,29,70,9,5,0
"ENSG00000198734.12",340,426,309,206,792,711,1911,537,285,20,392,155,544,1703,514,816
"ENSG00000174175.17",442,34,93,215,256,58,350,95,1416,316,507,205,199,1958,924,3841
"ENSG00000000460.17",48,24,16,12,143,58,113,17,32,10,176,86,55,139,73,137
"ENSG00000188404.10",4298,2647,3957,4372,15376,6500,18611,8477,7144,789,18679,9524,16665,26382,10493,15976
"ENSG00000007908.16",2,1,0,0,3,1,1,0,1,0,0,0,0,0,0,2
"ENSG00000230704.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000171806.12",46,56,49,42,63,60,55,8,21,1,212,114,131,78,89,118
"ENSG00000000457.14",126,138,123,179,401,181,366,45,15,10,256,94,155,348,84,117
"ENSG00000239494.2",0,2,1,0,3,0,3,0,0,0,2,5,2,0,1,0
"ENSG00000288139.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000075945.13",124,77,72,61,176,181,198,31,145,24,545,296,327,1035,280,509
"ENSG00000243051.3",0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0
"ENSG00000235378.2",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ENSG00000232959.1",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000224896.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000203740.4",0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0
"ENSG00000283340.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263390.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233985.2",4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238051.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
