"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","direction","significant"
"ENSG00000248727.6",14.6478901987767,1.17143662792382,0.611875260792718,0.00147252864901917,0.0301084251032069,"Up",TRUE
"ENSG00000232528.3",17.2913540227802,1.49305626620078,0.752761708157406,0.00147480384774624,0.0301084251032069,"Up",TRUE
"ENSG00000260051.1",5.24941338499559,-1.39611990237938,0.645823764980729,0.00148085389477796,0.0301673884663491,"Down",TRUE
"ENSG00000279981.1",6.91158602796032,-1.94266992231735,0.960791123402321,0.00148142707424727,0.0301673884663491,"Down",TRUE
"ENSG00000231566.4",22.3037716689078,-1.63101153525853,0.876987561808991,0.00150682404495154,0.0305518756357472,"Down",TRUE
"ENSG00000286437.1",4.32348193815323,-1.99298159899572,1.00705908217155,0.00152149240772364,0.0307980457639841,"Down",TRUE
"ENSG00000143476.18",53.1958325960674,1.21442991752262,0.852139713113266,0.00153550125992474,0.0309610132205763,"Up",TRUE
"ENSG00000230943.4",5.2838888379768,-1.93654183770669,1.06074719757329,0.00153607754778833,0.0309610132205763,"Down",TRUE
"ENSG00000146243.14",10.5149453887806,1.12604795420112,0.509902271824381,0.00154400556834313,0.0310373252243038,"Up",TRUE
"ENSG00000146373.17",60.5360444383308,1.01959001369746,0.452609516702996,0.00155577595880058,0.0311234459276917,"Up",TRUE
"ENSG00000257246.2",3.39427385483806,-2.8977744223221,1.33526077106461,0.00155658716503198,0.0311234459276917,"Down",TRUE
"ENSG00000264017.2",8.15042598727478,-1.53995071527002,0.80493066061689,0.00156981556307916,0.0313211605165421,"Down",TRUE
"ENSG00000174885.13",156.980729757179,1.01639646322521,0.476101378816174,0.00157192048458727,0.0313298285743191,"Up",TRUE
"ENSG00000186889.10",5.57956358077351,1.97018447680716,1.02802927958136,0.00159221747739899,0.0317006781195521,"Up",TRUE
"ENSG00000288965.1",144.258671676511,-1.51663511344709,0.760869871552347,0.00159768720594076,0.0317758468159268,"Down",TRUE
"ENSG00000111335.14",1260.49169427034,1.140525414152,0.531016962626758,0.00163665053971715,0.032182017111598,"Up",TRUE
"ENSG00000143797.12",267.674042907209,1.1308741366588,1.08658571875536,0.0016409616092716,0.0321896175302921,"Up",TRUE
"ENSG00000206913.1",9.82111921079028,-1.30585408481162,0.683025660578967,0.00164423639530897,0.0321896175302921,"Down",TRUE
"ENSG00000281530.1",5.14746131184509,1.53172343742243,0.726475133586101,0.00164369237845093,0.0321896175302921,"Up",TRUE
"ENSG00000181218.6",97.7665273840359,-1.08930710619201,0.822319296287167,0.00166670531211128,0.0324154750998229,"Down",TRUE
"ENSG00000205927.5",3.88705818252362,-2.32985734953629,1.07487345223375,0.00166974670435951,0.0324183224019282,"Down",TRUE
"ENSG00000052795.13",307.793173232297,-1.00398382338528,0.480827122123284,0.00167580165043837,0.032435149591302,"Down",TRUE
"ENSG00000174791.11",139.47693959644,-1.58508325522517,0.834139111317544,0.00170732646295617,0.0327747265227665,"Down",TRUE
"ENSG00000286964.1",6.4000943876196,-1.3081609417151,0.654150214472807,0.00170657405329161,0.0327747265227665,"Down",TRUE
"ENSG00000227218.7",16.9201827442598,-1.18199474593043,0.653806921892605,0.00170967669826866,0.0327862847403157,"Down",TRUE
"ENSG00000155252.14",575.31351800248,-1.13077281749307,0.540994384528719,0.00172371014585087,0.0329044397251502,"Down",TRUE
"ENSG00000188215.10",170.749945968988,-1.07696883487539,0.664502455489566,0.00172461019727127,0.0329044397251502,"Down",TRUE
"ENSG00000135636.16",1415.63326020907,1.21901112309894,0.601544196540968,0.00173373250760519,0.0330113230255181,"Up",TRUE
"ENSG00000164181.14",292.255552448443,1.18311705942831,0.666479908448553,0.00175309872976477,0.0332068809418376,"Up",TRUE
"ENSG00000198853.12",180.981113365207,-1.13326974595183,0.558612425417078,0.00175277538107665,0.0332068809418376,"Down",TRUE
"ENSG00000231830.1",3.42880587215345,-2.37005837049949,1.12219064477705,0.00175300304269747,0.0332068809418376,"Down",TRUE
"ENSG00000161509.14",14.3514032610177,-1.17930403843351,0.555936075668264,0.00177143837524794,0.0333902781183669,"Down",TRUE
"ENSG00000169682.18",7.02286306778442,-1.25690932039915,0.634083575672728,0.00177703247355875,0.0334377553904509,"Down",TRUE
"ENSG00000225331.2",9.11365165306011,-1.17758117224157,0.573659738672753,0.00177949375371833,0.0334412879268409,"Down",TRUE
"ENSG00000131773.15",4.37141750900719,-2.39128641928296,1.15220607338789,0.00178528120080166,0.0334535718396414,"Down",TRUE
"ENSG00000082397.18",626.525117066531,-1.26732441923245,0.670911228343085,0.00178535396910278,0.0334535718396414,"Down",TRUE
"ENSG00000036448.10",319.767201256662,1.61231033006048,1.17579480418099,0.00179968553807311,0.0336186277555391,"Up",TRUE
"ENSG00000280214.1",6.89779239561529,-1.90293280356286,1.00250187012546,0.00181928047553486,0.0338498068637463,"Down",TRUE
"ENSG00000260196.1",11.4016964942477,-1.73144672879286,1.05320352245183,0.00182452148581783,0.0338800994717955,"Down",TRUE
"ENSG00000105697.9",6.57378359502903,-1.92607976947358,0.967000011410372,0.00182754821672051,0.0339027367008835,"Down",TRUE
"ENSG00000118298.12",47.7335271347494,-1.22374949152358,0.602781058089619,0.00183759247698538,0.0340553823180443,"Down",TRUE
"ENSG00000171476.23",281.481245104048,1.09834416554659,0.624572383941145,0.00184724045429416,0.0341528483030653,"Up",TRUE
"ENSG00000184611.14",4.35358986039948,1.90408566775981,0.974797016393981,0.0018592458132412,0.0342344111749917,"Up",TRUE
