Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_severity,Experiment,Group,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR19173224,RNA-Seq,300,6584316900,PRJNA837285,SAMN28196088,2711101228,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",severe,SRX15238739,acute,Illumina HiSeq 4000,GSM6133515,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:53:00Z,1,GSM6133515,PBMC,SRP374816
SRR19173225,RNA-Seq,300,5338188600,PRJNA837285,SAMN28196089,2203308635,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",severe_and_icu,SRX15238738,acute,Illumina HiSeq 4000,GSM6133514,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:53:00Z,1,GSM6133514,PBMC,SRP374816
SRR19173226,RNA-Seq,300,5869838100,PRJNA837285,SAMN28196090,2410268672,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",severe_and_icu,SRX15238737,acute,Illumina HiSeq 4000,GSM6133513,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:47:00Z,1,GSM6133513,PBMC,SRP374816
SRR19173227,RNA-Seq,300,6874148100,PRJNA837285,SAMN28196115,2911012024,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",severe_and_icu,SRX15238736,acute,Illumina HiSeq 4000,GSM6133488,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T20:02:00Z,1,GSM6133488,PBMC,SRP374816
SRR19173228,RNA-Seq,300,6056038500,PRJNA837285,SAMN28196116,2556954329,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",severe_and_icu,SRX15238735,acute,Illumina HiSeq 4000,GSM6133487,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:55:00Z,1,GSM6133487,PBMC,SRP374816
SRR19173229,RNA-Seq,300,5874276600,PRJNA837285,SAMN28196117,2482564108,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",mild,SRX15238734,acute,Illumina HiSeq 4000,GSM6133486,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:55:00Z,1,GSM6133486,PBMC,SRP374816
SRR19173230,RNA-Seq,300,4863258300,PRJNA837285,SAMN28196118,2001513538,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",mild,SRX15238733,acute,Illumina HiSeq 4000,GSM6133485,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:48:00Z,1,GSM6133485,PBMC,SRP374816
SRR19173231,RNA-Seq,300,4969975800,PRJNA837285,SAMN28196119,2027707074,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",severe_and_icu,SRX15238732,acute,Illumina HiSeq 4000,GSM6133484,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:52:00Z,1,GSM6133484,PBMC,SRP374816
SRR19173232,RNA-Seq,300,4120688700,PRJNA837285,SAMN28196120,1692498198,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",severe,SRX15238731,acute,Illumina HiSeq 4000,GSM6133483,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:49:00Z,1,GSM6133483,PBMC,SRP374816
SRR19173233,RNA-Seq,300,4252218300,PRJNA837285,SAMN28196121,1808367032,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",severe,SRX15238730,acute,Illumina HiSeq 4000,GSM6133482,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:48:00Z,1,GSM6133482,PBMC,SRP374816
SRR19173234,RNA-Seq,300,6359639700,PRJNA837285,SAMN28196122,2611352847,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",severe_and_icu,SRX15238729,acute,Illumina HiSeq 4000,GSM6133481,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:54:00Z,1,GSM6133481,PBMC,SRP374816
SRR19173235,RNA-Seq,300,5649567000,PRJNA837285,SAMN28196123,2404990910,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",severe,SRX15238728,acute,Illumina HiSeq 4000,GSM6133480,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:48:00Z,1,GSM6133480,PBMC,SRP374816
SRR19173236,RNA-Seq,300,5749374300,PRJNA837285,SAMN28196124,2449396771,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",moderate,SRX15238727,acute,Illumina HiSeq 4000,GSM6133479,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:51:00Z,1,GSM6133479,PBMC,SRP374816
SRR19173237,RNA-Seq,300,5882829000,PRJNA837285,SAMN28196125,2404404784,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",severe,SRX15238726,acute,Illumina HiSeq 4000,GSM6133478,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:51:00Z,1,GSM6133478,PBMC,SRP374816
SRR19173238,RNA-Seq,300,6893716200,PRJNA837285,SAMN28196126,2814244893,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",severe_and_icu,SRX15238725,acute,Illumina HiSeq 4000,GSM6133477,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:55:00Z,1,GSM6133477,PBMC,SRP374816
SRR19173239,RNA-Seq,300,6941315700,PRJNA837285,SAMN28196127,2825577909,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",severe,SRX15238724,acute,Illumina HiSeq 4000,GSM6133476,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:59:00Z,1,GSM6133476,PBMC,SRP374816
SRR19173240,RNA-Seq,300,6091934400,PRJNA837285,SAMN28196128,2487493310,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",severe,SRX15238723,acute,Illumina HiSeq 4000,GSM6133475,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:54:00Z,1,GSM6133475,PBMC,SRP374816
SRR19173241,RNA-Seq,300,5526531600,PRJNA837285,SAMN28196129,2272900790,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",severe,SRX15238722,acute,Illumina HiSeq 4000,GSM6133474,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:52:00Z,1,GSM6133474,PBMC,SRP374816
SRR19173242,RNA-Seq,300,5554340100,PRJNA837285,SAMN28196130,2262370652,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",severe,SRX15238721,acute,Illumina HiSeq 4000,GSM6133473,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:52:00Z,1,GSM6133473,PBMC,SRP374816
SRR19173243,RNA-Seq,300,6006645000,PRJNA837285,SAMN28196131,2450486038,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",severe_and_icu,SRX15238720,acute,Illumina HiSeq 4000,GSM6133472,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:52:00Z,1,GSM6133472,PBMC,SRP374816
